Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2022,Lamnidae,Isurus,Isurus oxyrinchus,16030,kg,ES,EC,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,1766,kg,SG,NAM,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1241,kg,KR,TW,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,475,kg,HK,LK,,T,W,I
2021,Alopiidae,Alopias,Alopias vulpinus,702.9,kg,HK,PE,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,453.7,kg,SG,NAM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,150,kg,HK,OM,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,882.2,kg,SG,PE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,651.34,kg,HK,MX,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,24696,kg,KR,ES,,T,O,I
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,500,kg,HK,LK,,T,W,E
2022,Lamnidae,Isurus,Isurus oxyrinchus,200,kg,HK,LK,,T,W,E
